taxi_driver,trips,duration_average
1150,17,866.2941176470588
1146,7,694.5714285714286
434,12,811.3333333333334
240,2,1196.5
1155,4,966.75
431,1,1335.0
1181,3,1094.3333333333333
1170,5,941.6
916,1,1765.0
153,2,915.5
259,3,1169.6666666666667
1180,1,1336.0
1178,5,905.0
764,2,786.5
688,1,583.0
1193,2,1013.0
509,53,965.433962264151
812,6,1048.6666666666667
363,36,984.6944444444445
626,7,629.7142857142857
47,14,802.2142857142857
609,23,1091.2173913043478
471,4,774.75
423,54,1007.4814814814815
1,9,1052.6666666666667
115,35,1027.4571428571428
803,33,853.6363636363636
426,93,933.483870967742
102,1,771.0
614,52,965.5961538461538
384,5,940.8
271,4,716.25
563,8,809.125
199,15,991.3333333333334
503,1,836.0
428,2,435.5
298,19,918.1578947368421
641,71,934.7464788732394
752,36,952.0833333333334
846,30,795.3333333333334
699,4,1049.75
514,20,1016.3
646,5,1106.0
253,9,1067.7777777777778
183,2,1162.0
379,3,1416.0
718,10,981.9
325,64,903.265625
976,27,1123.111111111111
908,40,962.525
496,18,1044.9444444444443
975,5,827.6
634,9,934.2222222222222
871,2,1088.5
872,3,439.6666666666667
492,20,895.55
49,2,933.0
1075,5,883.8
1043,17,815.9411764705883
1109,1,1901.0
417,12,1029.6666666666667
396,7,1040.4285714285713
1125,11,796.4545454545455
1120,19,887.0
440,27,950.8148148148148
889,5,1082.0
53,9,1273.7777777777778
1154,11,800.8181818181819
600,1,269.0
897,3,866.6666666666666
154,20,861.2
656,1,727.0
71,6,571.1666666666666
1083,1,947.0
1001,2,924.5
1158,1,978.0
412,2,962.5
1204,1,771.0
675,1,1391.0
445,5,563.8
1174,2,685.5
636,1,1611.0
574,3,980.0
429,1,1230.0
176,1,612.0
341,38,896.1842105263158
692,99,971.5858585858585
845,26,847.8846153846154
174,30,1069.6
530,14,1049.357142857143
211,6,1306.8333333333333
246,2,862.5
580,41,826.1463414634146
200,25,948.88
37,91,827.6703296703297
89,12,892.8333333333334
157,2,1569.0
107,52,850.5384615384615
525,9,816.7777777777778
687,2,883.0
759,11,835.5454545454545
884,1,944.0
179,10,971.6
949,27,989.4814814814815
182,1,542.0
347,22,945.7727272727273
604,3,566.3333333333334
357,23,858.2173913043479
484,12,1098.1666666666667
466,4,1310.0
843,5,404.4
961,6,1065.3333333333333
277,11,866.4545454545455
700,23,982.0434782608696
581,21,930.8095238095239
988,13,977.7692307692307
824,13,967.0
967,13,830.5384615384615
464,2,1068.5
671,29,1074.3103448275863
832,1,1185.0
1025,3,1141.3333333333333
706,53,952.433962264151
135,5,1098.0
839,14,1035.0714285714287
383,4,1146.5
712,8,877.125
1011,5,1168.8
849,1,1478.0
77,4,1012.5
1101,2,866.0
1100,80,993.2125
529,7,914.4285714285714
1008,20,1046.65
1071,36,935.7222222222222
1086,1,142.0
1097,1,239.0
1115,7,1183.2857142857142
1116,2,533.0
1074,15,950.0
454,6,937.0
978,6,968.1666666666666
221,44,859.25
632,1,1007.0
500,7,851.5714285714286
1167,2,515.0
137,6,745.1666666666666
1172,1,1173.0
533,3,800.6666666666666
25,3,834.6666666666666
933,2,852.0
1179,2,926.5
